8146.14, 9184.41, 5535.24, 4113.19, 7472.90, 6681.24, 9207.54, 2836.09, 6347.43, 3933.08
7707.54, 9444.71, 6486.71, 5473.32, 4865.44, 8753.46, 5123.98, 3955.87, 11616.22, 6028.82
3572.11, 2785.39, 4534.59, 2370.09, 2783.69, 3186.36, 3963.28, 1365.71, 3508.00, 1904.00
2752.81, 6641.55, 8404.96, 3313.70, 3382.07, 8316.25, 2055.23, 1482.18, 8592.95, 1444.61
10866.43, 14431.20, 7396.99, 6980.11, 5776.62, 13333.68, 9694.27, 3483.45, 10167.33, 6384.41
4591.20, 5364.19, 7163.77, 3783.90, 3700.20, 5831.13, 4921.70, 1799.57, 6691.07, 2078.37
8526.88, 8271.10, 7061.06, 5015.28, 6549.67, 7685.44, 8661.02, 3496.64, 7615.37, 4936.19
5266.63, 9637.98, 6759.94, 3786.03, 4909.29, 9471.75, 5177.81, 1925.64, 7781.23, 2762.59
6144.45, 10979.79, 7804.17, 4310.02, 5272.97, 12095.38, 5994.77, 2231.25, 6957.85, 4142.05
6737.00, 5614.23, 5661.11, 3759.39, 5321.42, 4712.80, 7860.77, 2462.92, 5795.95, 3015.36

